id,name,time,text
4685810760155622,这个小吴很强大,Sun Sep 26 22:50:05 +0800 2021,#女子怀孕七个月被公司称没产假劝退#本来找工作就已经很难了，能不能不要再为难女性了，要女性生育繁衍，又要女性自立自强赚钱，还要学会控制情绪不矫情，这些都做到了。这个社会现实就是没有给女性足够安全感和保障，毕竟维权的成本大于所赚取得到的。
4685724430108261,江南都市报,Sun Sep 26 17:07:03 +0800 2021,#女子怀孕七个月被公司称没产假劝退#【扩散！这些孕期、产期、哺乳期的法律常识，你一定要知道】近日，近日，河南郑州许女士怀孕七个半月，却要因为外编人员没有产假2次被劝退。按照《妇女权益保护法》第27条规定，任何单位不得因怀孕产假哺乳等情形辞退女职工。关于孕期、产期、哺乳期的法律常识，你知道多少？转发收藏！
4685805223937595,科技便当,Sun Sep 26 22:28:06 +0800 2021,#女子怀孕七个月被公司称没产假劝退# 真就是现实，好在生在网络时代，有媒体当做新闻材料！不然还没人理
4685866452648384,橘子洲吃西瓜头,Mon Sep 27 02:31:24 +0800 2021,#女子怀孕七个月被公司称没产假劝退#这是我到目前为止看过的最让人😅的发言。
4685865554804887,经商哲学88,Mon Sep 27 02:27:49 +0800 2021,近日，河南郑州#女子怀孕七个月被公司称没产假劝退#公司却要因为外编人员没有产假2次劝退自己，且不给自己安排工作。
4685864515142176,西瓜会爆炸,Mon Sep 27 02:23:42 +0800 2021,#女子怀孕七个月被公司称没产假劝退#这么恶心的事反正我是干不出来，不知道这人事是不是女的 怎么说得出这种话真是公司的一条好🐶
4685838430766807,一叙明月,Mon Sep 27 00:40:03 +0800 2021,#女子怀孕七个月被公司称没产假劝退# 看的生气， 做女人真难。
4685739134027888,谈典看法,Sun Sep 26 18:05:29 +0800 2021,"#女子怀孕七个月被公司称没产假劝退#

看到有人说，一边鼓励女性生三孩，一边又辞退怀孕女员工，职场女性太难。

其实，这完全是两码事：鼓励生育的是国家，辞退怀孕女员工的是企业。不是企业跟国家唱反调，而是企业的利益没有得到保障，资本又是逐利的，他们肯定会选择牺牲劳动者的利益，来保障自身的利益。

这也是这次国家放开三孩政策时，提到要完善一系列配套制度的原因。要女性多生孩子，那就需要保护她们的合法权益，尤其在职场中，劳动法如何贯彻，相关社会保险如何落实，不只是国家一句“休假”“放假就可以了的，而要综合考虑保障女职工生育保险和保障的同时，平衡企业等相关方利益，才能让这孩子生得安心。

#V光计划#"
4685862594675402,泠音女,Mon Sep 27 02:16:04 +0800 2021,#女子怀孕七个月被公司称没产假劝退#还是人太多了，像北欧一些国家一共就那么点人，还容得你挑来挑去的，有人干活就不错了。总是说没人生孩子国家要完蛋了，别的国家几千万人不也照样过，美丽国四亿多人也不耽误人家成为超级大国啊，吃人口红利本来就不是长久之计，少生优生，幸福一生，这句话是真的
4685734382931561,兔三格格,Sun Sep 26 17:46:36 +0800 2021,"以前公司有位女员工，怀孕了。

她刚入职就怀孕，担心工作没了，就没敢跟直线经理讲。
直到三个月才告诉了经理。
经理却觉得她有心机，孕期一直没给她好脸色。
产假结束后，她重回工作岗位。
经理给了她一个无论怎么都不可能完成的指标，摆明了就是逼她离开。
最后，她辞职了，走的时候和经理大闹了一场。

几年后，她辗转了几家公司，换了几份工作。
孩子在长大，她工作也越来越出色。
终于，她也做到了地区经理的位置。

有一天，她和我聊天，跟我说：组里有两个女员工怀孕了，好烦啊！总觉得她们没有干活。
我说：你现在是不是能体会到当初xx得知你怀孕时候的心情了？
她叹了一口气：哎，每个岗位都有每个岗位的难。

很多大公司的规章制度看上去是保护孕妇的。
但确实很多时候，孕妇在职场是备受歧视的。
因为直接决定孕妇命运的，是她的顶头上司。

特别是销售领域，怀孕就意味着无数次的产检，会耽误工作。产后四个月的时间，市场处于空白区域，新人无法及时上手，老人可能也不愿意去接手一个可能随时会还回去的市场。
这时候团队业绩就会受影响，会直接影响到团队leader的业绩。

所以，孕妇，特别是做销售的，在职场遭受不公平的待遇就成了常态。

我做销售的时候认识的很多女性，产假一两个月就回去上班了。
没人逼她。
但不回去，位置就是别人的了。

这就是现实。
#女子怀孕七个月被公司称没产假劝退#"
4685829736498590,zzZ啾咪,Mon Sep 27 00:05:30 +0800 2021,#女子怀孕七个月被公司称没产假劝退#以后怀孕了发生只这事情女性只能留联系媒体吗
4685741508267805,极乐鸟-曼巴精神,Sun Sep 26 18:14:55 +0800 2021,#女子怀孕七个月被公司称没产假劝退# 这公司完球子了
4685793690386949,白砚秋18680,Sun Sep 26 21:42:15 +0800 2021,#女子怀孕七个月被公司称没产假劝退#先解决女性的生存问题再说三胎的事儿吧，怀孕丢了饭碗拿什么来生孩子养孩子？！教育医疗到处都要花钱…普通家庭三胎加生育失去工作女人。靠男人一人扛不过来吧
4685761225691069,当超人不上天,Sun Sep 26 19:33:16 +0800 2021,#女子怀孕七个月被公司称没产假劝退#别说了，公司为了响应国家三胎政策，鼓励大家生三胎！但是不能怀孕！
4685770236105051,来份猫饼g,Sun Sep 26 20:09:04 +0800 2021,#女子怀孕七个月被公司称没产假劝退#这个公司的哪个人不是女性辛辛苦苦怀孕生下来的？
4685849147212877,a艾皮皮,Mon Sep 27 01:22:38 +0800 2021,#女子怀孕七个月被公司称没产假劝退#公司你完了，现在国家提倡三胎，感觉你在和我国决策作对
4685849059132440,肖卜点儿,Mon Sep 27 01:22:17 +0800 2021,#女子怀孕七个月被公司称没产假劝退#能劝退就好了，我们这夜班上到七个月呢
4685806675168350,刘雯雯雯雯雯雯要减肥,Sun Sep 26 22:33:52 +0800 2021,我一直觉得三十岁的我已经完成了二胎，并且孩子们都独立去幼儿园了。算是我职场里的一大优势，没想到的是，单位还是在招聘的时候对男性同志很偏爱，对男性求职者有更大的期望。可见职场对女性的不公平。挺难的#女子怀孕七个月被公司称没产假劝退# 烟台
4685845007959359,Dontcareanymore,Mon Sep 27 01:06:11 +0800 2021,#女子怀孕七个月被公司称没产假劝退#虽然有法律保护，但是很多用人单位还是会对女性员工怀孕做出相应“手段”。加之女性员工生孩子坐月子休产假回到原来的刚回，刚开始会不适应，也会发现公司找个一个年轻能干的顶替了
4685819178651283,刑法杨艳霞,Sun Sep 26 23:23:33 +0800 2021,#女子怀孕七个月被公司称没产假劝退# 国家提倡二胎，医院提倡母乳，专家不建议隔代带娃 婚姻法要求女性经济独立，宝宝需要妈妈时刻陪伴 老公要求老婆貌美如花，婆婆要求儿媳孝顺顾家有事业 你前面说的我都同意。但我不敢说你最后说的这句话，因为这样就会被攻击为挑起性别对立，是女拳了。
4685735942688318,高考英语李辉老师,Sun Sep 26 17:52:48 +0800 2021,"#女子怀孕七个月被公司称没产假劝退##知识分享大会# 【地道表达250】
哪个是“产假”的地道表达？
选完看评论区答案 网页链接"
4685807355172387,捕获星光,Sun Sep 26 22:36:34 +0800 2021,#女子怀孕七个月被公司称没产假劝退#好烦，为什么这种问题只有舆论起来时候才能得到解决，公司能不能有点ac数，很多人可能没有精力去维权就吃了哑巴亏
4685808789360801,薄荷茶白n-n,Sun Sep 26 22:42:16 +0800 2021,"#女子怀孕七个月被公司称没产假劝退#
有些领导自己也是女人，女人何苦为难女人，
能保证以后你生的一定是儿子，你儿子生的一定是儿子？"
4685837122404544,Lonelygod-Shero,Mon Sep 27 00:34:50 +0800 2021,#女子怀孕七个月被公司称没产假劝退#郑州的垃圾公司太多太多 交社保的都没几个
4685836404918117,嘻嘻嘻嘻嘻xi嘻嘻,Mon Sep 27 00:32:00 +0800 2021,#女子怀孕七个月被公司称没产假劝退#都是没学过劳动法的，也不怕被请去赔钱。
4685836299272849,yongpphuili,Mon Sep 27 00:31:34 +0800 2021,#女子怀孕七个月被公司称没产假劝退#热搜怎么全是小莉帮忙？
4685835453072479,四川反邪教,Mon Sep 27 00:28:13 +0800 2021,#女子怀孕七个月被公司称没产假劝退#职场孕妈，这些权利一定要了解！女性的正当权益不应被侵犯！在职场，孕妈受哪些法律保护？享有哪些权利？看图了解↓↓
4685834705700112,女汉子PKR,Mon Sep 27 00:25:15 +0800 2021,#女子怀孕七个月被公司称没产假劝退#我们这行基本是上班上到生，除了到了一定月份不上夜班，其他都照常，所以不存在被劝退的现象
